gene_name	baseMean	log2FoldChange	padj	N1_1	N1_2	WT_1	WT_2
Gm9780	90.3929310459345	1.51244356901392	0.00999307536883046	85.0026589311378	149.697983952842	40.5278522578038	43.4008040149904
Gng2	7801.93566726155	-5.75316990339488	2.22168410288248e-48	512.534883318848	230.845835763545	18473.2885358441	21090.2375659314
Gpatch1	835.084810477606	-1.31062176008079	0.00734436191437731	416.240015884805	553.372848552743	1187.57918821271	1217.8104352586
Gramd1b	4158.95821429505	1.52141958420029	0.0494724774023997	5107.76110256001	11268.5953584932	3128.45220750347	2276.35134200378
Grhl1	138.716804506747	7.7763693022191	0.0123541044794358	0.910942323041298	1105.39009529258	1.01295140186382	4.02424711680624
Guf1	167.021972674951	7.27784189404376	4.80195711239979e-13	279.347180022968	190.66166930672	0	3.87235260567732
Hap1	2780.73730096492	2.29717497425471	0.0196510751679351	5359.16045975202	5128.73063624338	1013.08370100514	1181.77075598466
Hapln2	336.438206430656	-1.79434625972569	0.0110103960477454	79.0764917877743	170.936857233627	587.180319343018	249.577831011035
Hhipl2	36.3713282361807	-2.24625873569334	0.0321177540881765	9.08184181722635	12.636040048775	77.354656848704	25.0753909055438
Hif3a	451.596145214863	-1.6175605820601	0.0112101414701357	152.314535426923	159.891387995374	648.235050058181	354.773005805721
Hirip3	457.394738853961	1.78970099956849	0.000183411796206609	316.04321771353	485.516305823118	124.114672477132	172.090503354388
Hmg20a	2427.64052737281	-4.17796958672537	3.03214114653161e-20	310.572088994621	255.950325769596	4891.37129601895	3367.41539936012
Hmga1-rs1	393.606297393918	2.05031167539235	0.00353192528000058	390.681418418195	333.838046340015	41.6160228348044	135.088243646235
Hsp90ab1	77315.8055132148	-1.16093838459814	7.46153777309507e-11	41239.709819429	42434.6257979535	104524.223986821	82612.5097170003
Htr3a	454.17111904196	-1.61309077531954	2.75998015476708e-10	209.989465686174	229.718240242656	587.207376956889	755.753879153383
Ica1	803.685430358468	1.20087152929633	0.042938518632537	1195.5171517319	740.944616541291	434.254861196632	442.350006236569
Il1rap	2849.94674847502	-1.08557734775242	0.0252999325078973	1525.60405601854	1715.98731699786	4110.35433411999	3123.05464506519
Iqsec3	10325.2078017339	-2.73406267962338	2.21162584462722e-149	2154.83190277535	1954.39972986134	12977.3650746582	13254.8148109521
Jakmip2	2387.11081828934	-1.6568879443982	0.0134638489419393	1133.40120934633	1083.77463214742	3517.61980330892	2573.32747231011
